Accession Number	Phage Name	Phage Family	Bacterial Host Genus	Bacterial Host Species	Phage2014_train	Phage2014_eval Reference Sequence
KJ619459	Vibrio phage CTX	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Vibrio	Vibrio cholerae	yes	no	KJ619459
KJ716335	Dickeya phage RC-2014	Viruses; unclassified phages.	Dickeya	Dickeya	yes	no	KJ716335
KJ746502	Rhizobium phage vB_RleM_PPF1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Rhizobium	Rhizobium leguminosarum	yes	no	KJ746502
KJ802832	Salmonella phage 9NA	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella enterica	yes	no	KJ802832
KJ829260	Mycobacterium phage YungJamal	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	KJ829260
KJ858521	Aeromonas phage pAh6-C	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Aeromonas	Aeromonas hydrophila	yes	no	KJ858521
KJ909655	Escherichia Stx1-converting recombinant phage HUN/2013	Viruses; unclassified phages.	Escherichia	Escherichia coli	yes	no	KJ909655
KJ920400	Bacillus phage Waukesha92	Viruses; unclassified phages.	Bacillus	Bacillus thuringiensis	yes	no	KJ920400
KJ944841	Mycobacterium phage Cheetobro	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JN831653
KJ997912	Enterobacteria phage MED1	Viruses; ssDNA viruses; Microviridae; unclassified Microviridae.	Escherichia	Escherichia coli	yes	no	KJ997912
KM051843	Bacillus phage Bobb	Viruses; unclassified phages.	Bacillus	Bacillus thuringiensis	yes	no	KM051843
KM066034	Mycobacterium phage Inventum	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	JX411620
KM083128	Mycobacterium phage Sparky	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	KM083128
KM215148	Mycobacterium phage Cerasum	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	KM215148
KM224878	Vibrio phage ICP2_2011_A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Vibrio	Vibrio cholerae	yes	no	HQ641346
L06183	Leuconostoc phage L5	Viruses; unclassified phages.	Oenococcus	Oenococcus oeni	yes	no	440576.4
LK392619	Streptococcus phage CP-7	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; unassigned Picovirinae.	Streptococcus	Streptococcus pneumoniae	yes	no	LK392619
M19377	Pseudomonas phage Pf3	Viruses; ssDNA viruses; Inoviridae; Inovirus.	Pseudomonas	Pseudomonas aeruginosa	yes	no	M19377
NC_001270	Spiroplasma phage SVTS2	Viruses; ssDNA viruses; Inoviridae; Plectrovirus; unclassifiedPlectrovirus.	Spiroplasma	Spiroplasma	yes	no	NC_001270
NC_001629	Lactococcus phage bIL67	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;C2likevirus.	Lactococcus	Lactococcus	yes	no	NC_001629
NC_001909	Lactococcus phage bIL170	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_001909
NC_001942	Mycoplasma phage MAV1	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Mycoplasma	Mycoplasma arthritidis	yes	no	NC_001942
NC_002180	Chlamydia pneumoniae phage CPAR39	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Chlamydiamicrovirus.	Chlamydophila	Chlamydophila pneumoniae	yes	no	NC_001998
NC_002515	Mycoplasma phage P1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; unassigned Picovirinae.	Mycoplasma	Mycoplasma pulmonis	yes	no	NC_002515
NC_002519	Roseobacter phage SIO1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Roseobacter	Roseobacter	yes	no	NC_002519
NC_002700	Acinetobacter phage AP205	Viruses; ssRNA positive-strand viruses, no DNA stage; Leviviridae;Levivirus.	Acinetobacter	Acinetobacter	yes	no	NC_002700
NC_003085	Myxococcus phage Mx8	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Myxococcus	Myxococcus xanthus	yes	no	NC_003085
NC_003299	Pseudomonas phage phi8	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_003299
NC_003300	Pseudomonas phage phi8	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_003300
NC_003301	Pseudomonas phage phi8	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_003301
NC_003324	Sinorhizobium phage PBC5	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Sinorhizobium	Sinorhizobium meliloti	yes	no	NC_003324
NC_003387	Mycobacterium phage TM4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium avium	yes	no	NC_003387
NC_003438	Spiroplasma phage 4	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Spiromicrovirus.	Spiroplasma	Spiroplasma melliferum	yes	no	NC_003438
NC_003460	Propionibacterium phage B5	Viruses; ssDNA viruses; Inoviridae; Inovirus; unclassified Inovirus.	Propionibacterium	Propionibacterium freudenreichii	yes	no	NC_003460
NC_003715	Pseudomonas phage phi6	Viruses; dsRNA viruses; Cystoviridae; Cystovirus.	Pseudomonas	Pseudomonas syringae	yes	no	NC_003715
NC_003716	Pseudomonas phage phi6	Viruses; dsRNA viruses; Cystoviridae; Cystovirus.	Pseudomonas	Pseudomonas syringae	yes	no	NC_003716
NC_004170	Pseudomonas phage phi13	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_004170
NC_004172	Pseudomonas phage phi13	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_004172
NC_004173	Pseudomonas phage phi12	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_004173
NC_004174	Pseudomonas phage phi12	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_004174
NC_004175	Pseudomonas phage phi12	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_004175
NC_004305	Lactobacillus phage phig1e	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactobacillus	Lactobacillus	yes	no	NC_004305
NC_004735	Rhodothermus phage RM378	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Rhodothermus	Rhodothermus marinus	yes	no	NC_004735
NC_004827	Haemophilus phage Aaphi23	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Actinobacillus	Actinobacillus actinomycetemcomitans	yes	no	NC_004827
NC_004996	Streptococcus phage SM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus mitis	yes	no	NC_004996
NC_005857	Klebsiella phage phiKO2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Klebsiella	Klebsiella oxytoca	yes	no	NC_005857
NC_005885	Actinoplanes phage phiAsp2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Actinoplanes	Actinoplanes	yes	no	NC_005885
NC_005964	Mycoplasma phage phiMFV1	Viruses; unclassified phages.	Mycoplasma	Mycoplasma fermentans	yes	no	AY583234
NC_006356	Flavobacterium phage 11b	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Flavobacterium	Flavobacterium	yes	no	NC_006356
NC_006557	Bacillus phage BCJA1c	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Bacillus	Bacillus clarkii	yes	no	NC_006557
NC_006940	Salmonella phage SS3e	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella enterica	yes	no	NC_006940
NC_006953	Listonella phage phiHSIC	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listonella	Listonella pelagia	yes	no	NC_006953
NC_007149	Vibriophage VP4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Vibrio	Vibrio	yes	no	JQ780163
NC_007461	Chlamydia phage 4	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Chlamydiamicrovirus; unclassified Chlamydiamicrovirus.	Chlamydophila	Chlamydophila abortus	yes	no	NC_007461
NC_007967	Streptomyces phage mu1/6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptomyces	Streptomyces aureofaciens	yes	no	NC_007967
NC_008193	Pasteurella phage F108	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Peduovirinae; Hpunalikevirus.	Pasteurella	Pasteurella multocida	yes	no	NC_008193
NC_008355	Chlamydia phage 3	Viruses; ssDNA viruses; Microviridae; Gokushovirinae;Chlamydiamicrovirus; unclassified Chlamydiamicrovirus.	Chlamydia	Chlamydia pecorum	yes	no	NC_008355
NC_008363	Lactococcus phage P008	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Lactococcus	Lactococcus lactis	yes	no	NC_008363
NC_008367	Phormidium phage Pf-WMP4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Phormidium	Phormidium	yes	no	NC_008367
NC_008584	Thermus phage phiYS40	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Thermus	Thermus	yes	no	AP011616
NC_009552	Geobacillus virus E2	Viruses; unclassified phages.	Geobacillus	Geobacillus	yes	no	NC_009552
NC_009603	Microbacterium phage Min1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Microbacterium	Microbacterium nematophilum	yes	no	NC_009603
NC_009643	Actinomyces phage Av-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Picovirinae; unassigned Picovirinae.	Actinomyces	Actinomyces naeslundii	yes	no	NC_009643
NC_009816	Corynebacterium phage P1201	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Corynebacterium	Corynebacterium glutamicum	yes	no	NC_009816
NC_009819	Streptococcus phage P9	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus equi	yes	no	NC_009819
NC_009990	Thalassomonas phage BA3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Thalassomonas	Thalassomonas loyana	yes	no	NC_009990
NC_010342	Halomonas phage phiHAP-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Halomonas	Halomonas aquamarina	yes	no	NC_010342
NC_010355	Azospirillum phage Cd	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Azospirillum	Azospirillum brasilense	yes	no	NC_010355
NC_010811	Ralstonia phage RSL1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Ralstonia	Ralstonia	yes	no	NC_010811
NC_010821	Pseudomonas phage 201phi2-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Phikzlikevirus; unclassified phiKZ-like viruses.	Pseudomonas	Pseudomonas chlororaphis	yes	no	NC_010821
NC_010945	Streptococcus phage PH15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus gordonii	yes	no	NC_010945
NC_011085	Morganella phage MmP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Morganella	Morganella morganii	yes	no	NC_011085
NC_011103	Rhizobium phage 16-3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Rhizobium	Rhizobium	yes	no	NC_011103
NC_011142	Iodobacteriophage phiPLPE	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Iodobacter	Iodobacter	yes	no	NC_011142
NC_011308	Listeria phage P40	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Listeria	Listeria	yes	no	NC_011308
NC_011534	Kluyvera phage Kvp1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Kluyvera	Kluyvera cryocrescens	yes	no	NC_011534
NC_012092	Pseudomonas phage phi2954	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_012092
NC_012093	Pseudomonas phage phi2954	Viruses; dsRNA viruses; Cystoviridae.	Pseudomonas	Pseudomonas syringae	yes	no	NC_012093
NC_013597	Aggregatibacter phage S1249	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Aggregatibacter	Aggregatibacter actinomycetemcomitans	yes	no	NC_013597
NC_013599	Xylella phage Xfas53	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Xylella	Xylella fastidiosa	yes	no	NC_013599
NC_013651	Vibrio phage N4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Vibrio	Vibrio	yes	no	NC_013651
NC_013693	Shigella phage Ag3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Shigella	Shigella boydii	yes	no	NC_013693
NC_013698	Clavibacter phage CMP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Clavibacter	Clavibacter michiganensis	yes	no	NC_013698
NC_014660	Acinetobacter phage Ac42	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Acinetobacter	Acinetobacter	yes	no	NC_014660
NC_015208	Pseudomonas phage phi15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; T7likevirus.	Pseudomonas	Pseudomonas	yes	no	NC_015208
NC_015210	Tsukamurella phage TPA2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Tsukamurella	Tsukamurella paurometabola	yes	no	NC_015210
NC_015272	Pseudomonas phage KPP10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pseudomonas	Pseudomonas	yes	no	NC_015272
NC_015292	Erwinia phage phiEa104	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Erwinia	Erwinia	yes	no	NC_011811
NC_015295	Erwinia phage phiEt88	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Erwinia	Erwinia	yes	no	NC_015295
NC_015454	Propionibacterium phage PAD20	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Propionibacterium	Propionibacterium	yes	no	NC_015454
NC_015466	Roseobacter phage RDJL Phi 1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Roseobacter	Roseobacter denitrificans	yes	no	NC_015466
NC_015938	Salmonella phage 7-11	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Salmonella	Salmonella enterica	yes	no	NC_015938
NC_016161	Pediococcus phage clP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pediococcus	Pediococcus	yes	no	NC_016161
NC_016435	Gordonia phage GRU1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Gordonia	Gordonia rubropertincta	yes	no	NC_016435
NC_016569	Nocardia phage NBR1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Nocardia	Nocardia brasiliensis	yes	no	NC_016569
NC_016650	Rhodococcus phage RGL3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Rhodococcus	Rhodococcus globerulus	yes	no	NC_016650
NC_016653	Rhodococcus phage RER2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Rhodococcus	Rhodococcus erythropolis	yes	no	NC_016653
NC_016761	Salmonella phage SPN1S	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Salmonella	Salmonella	yes	no	JQ691610
NC_017981	Xanthomonas phage vB_XveM_DIBBI	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Xanthomonas	Xanthomonas vesicatoria	yes	no	NC_017981
NC_017983	Salisaeta icosahedral phage 1	Viruses; unclassified phages.	Salisaeta	Salisaeta	yes	no	NC_017983
NC_018087	Acinetobacter phage ZZ1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Acinetobacter	Acinetobacter baumannii	yes	no	NC_018087
NC_018264	Thermoanaerobacterium phage THSA-485A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Thermoanaerobacterium	Thermoanaerobacterium saccharolyticum	yes	no	NC_018264
NC_018269	Marinomonas phage P12026	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Marinomonas	Marinomonas	yes	no	NC_018269
NC_018273	Leuconostoc phage Lmd1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Leuconostoc	Leuconostoc mesenteroides	yes	no	NC_018273
NC_018276	Croceibacter phage P2559S	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Croceibacter	Croceibacter atlanticus	yes	no	NC_018276
NC_018280	Celeribacter phage P12053L	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Celeribacter	Celeribacter	yes	no	NC_018280
NC_018285	Streptococcus phage YMC-2011	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Streptococcus	Streptococcus salivarius	yes	no	NC_018285
NC_018454	Cronobacter phage phiES15	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Cronobacter	Cronobacter sakazakii	yes	no	NC_018454
NC_018832	Providencia phage Redjac	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Providencia	Providencia stuartii	yes	no	NC_018832
NC_018837	Pectobacterium phage My1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pectobacterium	Pectobacterium	yes	no	NC_018837
NC_018843	Salmonella phage SSU5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella enterica	yes	no	NC_018843
NC_019420	Edwardsiella phage KF-1	Viruses; unclassified phages.	Edwardsiella	Edwardsiella	yes	no	AB757801
NC_019442	Escherichia phage TL-2011c	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Escherichia	Escherichia coli	yes	no	NC_018846
NC_019444	Synechococcus phage S-MbCM6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Tevenvirinae; T4likevirus.	Synechococcus	Synechococcus	yes	no	KF156339
NC_019446	Brucella phage Tb	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Brucella	Brucella abortus	yes	no	HG428758
NC_019447	Brucella phage Pr	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Brucella	Brucella melitensis	yes	no	HG428758
NC_019485	Enterobacter phage EcP1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;N4likevirus; unclassified N4likevirus.	Enterobacter	Enterobacter cloacae	yes	no	NC_019485
NC_019487	Bacillus phage SP10	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Bacillus	Bacillus	yes	no	NC_019487
NC_019488	Salmonella phage RE-2010	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Salmonella	Salmonella enterica	yes	no	NC_019488
NC_019490	Riemerella phage RAP44	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Riemerella	Riemerella anatipestifer	yes	no	NC_019490
NC_019520	Escherichia phage phiKT	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified phiKMV-like phages.	Escherichia	Escherichia	yes	no	NC_019520
NC_019522	Pectobacterium phage ZF40	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Pectobacterium	Pectobacterium carotovorum	yes	no	NC_019522
NC_019524	Enterobacter phage Enc34	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Enterobacter	Enterobacter cancerogenus	yes	no	NC_019524
NC_019539	Salmonella phage vB_SenS-Ent1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Salmonella	Salmonella enterica	yes	no	NC_019539
NC_019540	Salinivibrio phage CW02	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Salinivibrio	Salinivibrio costicola	yes	no	NC_019540
NC_019725	Escherichia phage ADB-2	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae;Tunalikevirus; unclassified Tunalikevirus.	Escherichia	Escherichia	yes	no	NC_019725
NC_019782	Lactobacillus phage phiAQ113	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Lactobacillus	Lactobacillus	yes	no	NC_019782
NC_019910	Salmonella phage SKML-39	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Salmonella	Salmonella	yes	no	NC_019910
NC_019915	Staphylococcus phage StB20	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus capitis	yes	no	NC_019915
NC_019921	Staphylococcus phage phi5967PVL	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus	yes	no	AP011956
NC_019923	Pseudomonas phage AF	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae.	Pseudomonas	Pseudomonas	yes	no	NC_019923
NC_019924	Clostridium phage phi8074-B1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Clostridium	Clostridium sporogenes	yes	no	NC_019924
NC_019926	Erwinia phage phiEa100	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified Autographivirinae.	Erwinia	Erwinia	yes	no	FQ482084
NC_019930	Tetrasphaera phage TJE1	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Tetrasphaera	Tetrasphaera jenkinsii	yes	no	NC_019930
NC_020082	Edwardsiella phage MSW-3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Edwardsiella	Edwardsiella	yes	no	NC_020082
NC_020083	Serratia phage phiMAM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Serratia	Serratia	yes	no	NC_020083
NC_020198	Pseudomonas phage JBD30	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas	yes	no	NC_018274
NC_020199	Staphylococcus phage phi7401PVL	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Staphylococcus	Staphylococcus	yes	no	NC_020199
NC_020200	Pseudomonas phage JBD88a	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas	yes	no	JN808773
NC_020202	Pseudomonas phage JBD5	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas	yes	no	NC_020202
NC_020203	Pseudomonas phage JBD24	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Pseudomonas	Pseudomonas	yes	no	NC_020203
NC_020414	Enterobacteria phage UAB_Phi78	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae;Autographivirinae; unclassified Sp6likevirus.	Salmonella	Salmonella enterica	yes	no	NC_020414
NC_020836	Synechococcus phage KBS-M-1A	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	HQ317385
NC_020839	Rhodobacter phage RC1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Rhodobacter	Rhodobacter	yes	no	NC_020839
NC_020844	Salicola phage CGphi29	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Salicola	Salicola	yes	no	NC_020844
NC_020845	Prochlorococcus phage MED4-213	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Prochlorococcus	Prochlorococcus marinus	yes	no	NC_020845
NC_020847	Prochlorococcus phage MED4-184	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Prochlorococcus	Prochlorococcus marinus	yes	no	NC_020847
NC_020853	Loktanella phage pCB2051-A	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Loktanella	Loktanella	yes	no	NC_020853
NC_020854	Cyanophage KBS-S-2A	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Synechococcus	Synechococcus	yes	no	NC_020854
NC_020855	Cyanophage P-RSM6	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Prochlorococcus	Prochlorococcus	yes	no	NC_020855
NC_020857	Cyanophage MED4-117	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Prochlorococcus	Prochlorococcus marinus	yes	no	NC_020847
NC_020863	Vibrio phage PWH3a-P1	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Vibrio	Vibrio natriegens	yes	no	NC_020863
NC_020866	Rhodovulum phage RS1	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Rhodovulum	Rhodovulum	yes	no	NC_020839
NC_020871	Listeria phage vB_LmoM_AG20	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Spounalikevirus; unclassified SPO1-like viruses.	Listeria	Listeria monocytogenes	yes	no	KJ591604
NC_020872	Cyanophage SS120-1	Viruses; dsDNA viruses, no RNA stage; Caudovirales.	Prochlorococcus	Prochlorococcus marinus	yes	no	NC_020872
NC_020873	Bacillus phage vB_BceM-Bc431v3	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Spounalikevirus; unclassified SPO1-like viruses.	Bacillus	Bacillus cereus	yes	no	NC_020873
NC_020875	Synechococcus phage S-SSM4	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Synechococcus	Synechococcus	yes	no	NC_020875
NC_020877	Staphylococcus phage vB_SauM_Romulus	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae;Spounavirinae; Twortlikevirus; unclassified Twortlikevirus.	Staphylococcus	Staphylococcus aureus	yes	no	NC_019511
NC_021063	Mycobacterium phage vB_MapS_FF47	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium avium	yes	no	NC_021063
NC_021068	Vibrio phage douglas 12A4	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Vibrio	Vibrio fischeri	yes	no	NC_021068
NC_021071	Cyanophage P-RSM1	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Myoviridae.	Prochlorococcus	Prochlorococcus	yes	no	NC_021071
NC_021072	Cyanophage Syn30	Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA phages.	Synechococcus	Synechococcus	yes	no	NC_021072
NC_021296	Mycobacterium phage Breezona	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	KC661276
NC_021297	Mycobacterium phage PattyP	Viruses; dsDNA viruses, no RNA stage; Caudovirales; Siphoviridae.	Mycobacterium	Mycobacterium smegmatis	yes	no	6666666.3812
